path,bytes,mtime_ns,kind,sha256
runs/detect/edge_sign_v4/confusion_matrix_normalized.png,116197,1780735003244234000,.png,fbdf6f6090c5246a4fb724dba0d2ec74a8dc8237242478d42880cc7e5bb065a4
runs/detect/edge_sign_v4/labels.jpg,92110,1780714116763223800,.jpg,193d6619131b1127f3ab1bb920e7bd98545aecebca41c6a0a86d843fb7567637
runs/detect/edge_sign_v4/results.csv,5194,1780734977470950300,.csv,721b807fdc30527b53a324021c0a118ca02d9f48f65754fb70786a02c5a5574c
runs/detect/edge_sign_v4/results.png,256150,1780735004003098900,.png,450df509ac172a1ddee474824aeed12e2d1a7a46a0a0c5dddc970112d9645281
runs/detect/edge_sign_v4/train_batch0.jpg,362580,1780714122019467900,.jpg,24e0aaa4bfb500c8d0bfb06cc1d00348d21c2af89d0af3f9161b028598ced229
runs/detect/edge_sign_v4/train_batch1.jpg,387814,1780714122431833200,.jpg,6a2f7e55143d22cc9b54ec832368b787636c463aa97ede7d12d45c02fa0e0ad1
runs/detect/edge_sign_v4/train_batch2.jpg,400851,1780714122796626200,.jpg,12997ffee3f135519ad79e405b91bb186053f0e5cffe593756385ab50b322b11
runs/detect/edge_sign_v4/train_batch46410.jpg,343877,1780730103529224900,.jpg,cd9c1a7303745a1e07e963dddddf77796ca8b195481fe77c9d4b474eb5590841
runs/detect/edge_sign_v4/train_batch46411.jpg,359160,1780730103898173800,.jpg,4380f496da5e4a707a3508c097efacee0619a5e0884df6c4757190d5758c7abb
runs/detect/edge_sign_v4/train_batch46412.jpg,346718,1780730104246742700,.jpg,68ad83e140adae3ed0fb2fd714380471a7fb0845c39218ddecf89b990a81f00f
runs/detect/edge_sign_v4/val_batch0_labels.jpg,418240,1780734979539191800,.jpg,1d0b1869fa08b4a4a90c2522af13055a998d94f5637fd99f063d09e872077193
runs/detect/edge_sign_v4/val_batch0_pred.jpg,418237,1780734979534185300,.jpg,1572b128b1bfc2dcdd183409b6eb826632fc834ec4220dc41e5fbd8faf9da955
runs/detect/edge_sign_v4/val_batch1_labels.jpg,472042,1780734979805476700,.jpg,1c7a4e4531fe6721c1c10292bfb2ee173d054bba33a4e28263c0b32034b81389
runs/detect/edge_sign_v4/val_batch1_pred.jpg,479697,1780734979795966900,.jpg,2a743fa3ff9d1570ec0f4c31380fdcbc4bacfdeeead79132899e1a589fa2a122
runs/detect/edge_sign_v4/val_batch2_labels.jpg,533055,1780734980075875100,.jpg,22f8d77f1825cf82554dc7845d3f78a739937177ccc635eaf1f6b0cfc8c1064b
runs/detect/edge_sign_v4/val_batch2_pred.jpg,545902,1780734980083381600,.jpg,8b6569565ebae7d6933aef63099b6f63e198232b39d415a9b7db0e24e27c4ef4
runs/detect/edge_sign_v4/weights/best.onnx,4971834,1780736088286076800,.onnx,0028ac54c854b3b021f0a2b7987eab37be66612aa86c1c955846c0db3977e37e
runs/detect/edge_sign_v4/weights/best.pt,5449413,1780734977907936100,.pt,102ff3d6075ee0179bc3800b645809bb0954f64c143d36c63f934908e81007c0
runs/detect/edge_sign_v4/weights/last.pt,5449413,1780734977828352200,.pt,4476fb948bddb1f3f19dcb35a483041af7584d6984cc7dc9016459fe9563a337
model_space/_spike/yolo26n.onnx,9941944,1780713854400280900,.onnx,630d0ba1fa7b90cbb58501adf067d9d78a38aac69a99b3ca92650677eb8872e0
model_space/_spike/yolo26n.pt,5544453,1780713852828740900,.pt,9b09cc8bf347f0fc8a5f7657480587f25db09b34bf33b0652110fb03a8ad4fef
model_space/korean_ocr_net_1bit.onnx,2880185,1779955611450051900,.onnx,ca1bd574c78cfda87f63f33c8350888d28d961842961116754bb8a496ec788d7
model_space/korean_ocr_net_fp32.onnx,2880185,1779955598237648900,.onnx,671167504b2e42a5b3afef925c9c1ba1aea4cb60d8bce96a314fe8149e078e71
model_space/korean_ocr_net_int8_dyn.onnx,749365,1779959224899333300,.onnx,fa31b957e420acd3cd5961011f232c692c69b142534ca51e59422ccb7f3a2dc6
model_space/korean_ocr_net_int8_static.onnx,796892,1780077464188865800,.onnx,441923d39bd2e9bf2fb375438d5fc22f0bba846db2c8434dfb6ac5b5d224d715
model_space/korean_ocr_net_w4a16.onnx,2880185,1779955607646399300,.onnx,0ebc503de02d6493cec8ac2afddfe5e1d9e363ce8c190996db2f7998eafa59bc
model_space/korean_ocr_net_w8a8.onnx,2880185,1779955603730989500,.onnx,c2cb4081803903f7dc4673086cafb893e205d5823035be31dd4d66e8ffc511ee
model_space/korean_sign_net_best.pth,125867,1780135308202580600,.pth,3812b23a5cbd30c3b6c0d1a32d161549ec1aa7b7f9657b70ca7214edc03f0aad
model_space/korean_sign_net_fp16.onnx,59743,1780714214281447700,.onnx,b4e39ac205a962f13ae106f24858d573393ecdd0f1dfa14acd877aca3fcb1a64
model_space/korean_sign_net_fp32.onnx,116860,1780135454054466600,.onnx,a5d6584c984fe105c04d22f7ae026ba2fc4be4a97eb67a4997a1c03626ae47ca
model_space/korean_sign_net_w8a8.onnx,37789,1780135601019363500,.onnx,7c22a19d613dbc34472eb48ab7bd84da9c040034af475c0292d2c30ec9d6e67b
model_space/reid_net_int8_dyn.onnx,75736,1779959225154446200,.onnx,5293001e122175df7e5f481291c964ccdefb00024e96bb64abb3741ab2e47cd1
model_space/reid_net_w8a8.onnx,254465,1779955947545494200,.onnx,c7fc8c05a85c0c66f433fb1b733dceec19a163c6fea4397ac9bd918c7a94ea79
model_space/traffic_sign_net_1bit.onnx,125814,1779955613771845100,.onnx,b3b30561cd9fded34ba2871191e9e3b3d5eaa4c09191a29c582e7c2e2ae67b7e
model_space/traffic_sign_net_best.pth,132874,1779954519592930000,.pth,614ea48934495b4c3996b73453d02c92991ceb854dbb0304f5f8a8de0ecbd05c
model_space/traffic_sign_net_fp32.onnx,125814,1779954550099776700,.onnx,1940de20953bf863be79b7cf9eb843335579d97df7f7ef1567c268da4f8552c5
model_space/traffic_sign_net_int8_dyn.onnx,40485,1779959225049831000,.onnx,8199058b5290e27e964bf92c7aa7e7a8e4c0309d1319540fff191b4d7181208a
model_space/traffic_sign_net_int8_static.onnx,44807,1780077467065374400,.onnx,b5d75c132e803269a8d73f720fe648e5f90b67243a82a59bd8607e183be3e905
model_space/traffic_sign_net_w4a16.onnx,125814,1779955609984399300,.onnx,3616dcb17718c1518bd601cfc01def7e1429b5c87d86ff3c1d35a43b673c6584
model_space/traffic_sign_net_w8a8.onnx,125814,1779955606072970900,.onnx,2007c85668592ce7af8178ecbe194e3ade3b2279cf4caeee2000df6d90b67a1c
model_space/yolo_v4_signs_fp16.onnx,4971834,1780736105341704500,.onnx,0028ac54c854b3b021f0a2b7987eab37be66612aa86c1c955846c0db3977e37e
model_space/yolo_v4_signs_fp32.onnx,9805975,1780735054749353000,.onnx,4133272b340bc2e788277edce1b4abe3e41126df9d697746a06315fd5603c6f1
model_space/yolo_v4_signs_int8_head_excluded.onnx,3416372,1780735214091275400,.onnx,a2ddfe7d07adeb3cc58d413a0936ca3833260e99a4af227b01dea4df7326c9eb
model_space/yolo_v4_signs_int8_static.onnx,3098518,1780735062425515500,.onnx,c4fc17fb230324a0e691c4f2b9c1dd25986cdea27a41525de891b8d0d1d729cd
model_space/yolo_v4_signs_w4a16.onnx,9805975,1780735063497902900,.onnx,b715605e0078732c083db98ebb59ece8f85887d5ef6a8a816e7b9724cd60681e
model_space/yolov8s_signs_fp32.onnx,44747973,1780032924294269800,.onnx,e93dcd1aaed30c0cabc438e366cdb86bcd72d462a207da903768c8465f84dda1
model_space/yolov8s_signs_int8_dyn.onnx,11491070,1779959201737664200,.onnx,29bd935d39ba7f7bdca4e697dcf6020c1254c4959b470b08d70ca1e262217dcd
model_space/yolov8s_signs_int8_static.onnx,11657516,1780077463361168900,.onnx,4b67a93d1a90c63df72ccfe3065c69fec73f6a8a15fb81f699f1e337e394d350
model_space/yolov8s_signs_smoothquant.onnx,44761494,1780072170583679800,.onnx,01934438a03ee274cfa7f4bedfdbb910d5027c9b996c13865773f9460ca57bc7
model_space/yolov8s_signs_v2_fp32.onnx,44747973,1780032924294269800,.onnx,e93dcd1aaed30c0cabc438e366cdb86bcd72d462a207da903768c8465f84dda1
model_space/yolov8s_signs_v3_fp16.onnx,22382483,1780634127735737600,.onnx,89bd34c6c56cc1ee893134277fd0e3beac0ea1436693f6587adc913412d6d529
model_space/yolov8s_signs_v3_fp32.onnx,44747495,1780155316609737400,.onnx,033615c8ec96a62b36e3c5c3e4bd586403c165f9cb519f4352f3c33e50f8f323
model_space/yolov8s_signs_v3_int8_static.onnx,17997724,1780305387281427500,.onnx,cac42647fd5781c808f3eb192e3003c12f44e83fefb3beabc9b1e0727a9e6aee
model_space/yolov8s_signs_w4a16.onnx,44747973,1780072166981418500,.onnx,7ffd5e1917082e71d76141dc373c77b57ca71c024271fcd9f5662b56746e7f53
model_space/yolov8s_signs_w8a8.onnx,44747973,1780072165997250100,.onnx,df103bdd47907e9f734aadc9e46f050264b43960884f67df9028855895acc858
models/hf_1bit_model/config.json,87,1779610305121164700,.json,a7712a4a3a5db5d5b6cd3c5b45ed4d5b41d9cccb43f05219e3c63ba3ce8b9ba8
models/hf_1bit_model/model.safetensors,2095724,1779610305129181100,.safetensors,c48e95bbe058d26c8961d7b2df96f49ea31254ed5b9010a66254b69d80fc9380
models/hf_mm_1bit_model/config.json,288,1779610305224440600,.json,7464cade4edfc572ffb3da97ecc86592be97ce19f0b70daadb80ef921ec762ee
models/hf_mm_1bit_model/model.safetensors,30637680,1779610305392816200,.safetensors,2b6c73fad752b8f7c51efef0be4c35f9258e5486154bc275cef2d4cb707dcfe6
models/hf_w4a16_model/config.json,180,1779610305394821900,.json,c716c78be973f071f5e6f3450d91ecd5ec08a108373adc8ef25fd2e9016c8991
models/hf_w4a16_model/model.safetensors,15641016,1779610305417861900,.safetensors,c3ddf224f05cd98ffc6156082b1a8641c702084797e580f32f2a6a4f34f86965
models/hf_w8a8_model_convnextv2_nano.fcmae_ft_in1k/config.json,102,1779610305420362400,.json,f25d169a4f21305a1b7d1a683f72290c7e372570bda69f1af52fea36ac058c90
models/hf_w8a8_model_convnextv2_nano.fcmae_ft_in1k/model.safetensors,15641016,1779610305443525300,.safetensors,d98bdcae4e947de789c251a61d41b4f23750767800ae878be27810813829c31e
models/hf_w8a8_smoothquant/smoothquant_w8a8.pth,30755607,1779610305623270400,.pth,ef509e3a3a1f80c01ae0c2d6b0473c8b8c6925ff70f8adf2f019102256c71d84
models/korean_ocr.onnx,33300,1779633958262586800,.onnx,9e712f317b7eb93b584074dede8090afe947e2d099841c72c94539e327054cf5
models/korean_ocr.onnx.data,2930688,1779633958260083200,.data,c614efe7406d37654fcf5bbf7bf02d5f36a35536acfb8146edc61496f38804cf
models/korean_ocr_best.pth,2901044,1779633956565479700,.pth,4fbb067e87bb5b69d00c8bc64249745b50482e40ec69f51faadc6a617375116a
models/korean_ocr_quant.onnx,758419,1779633958453935200,.onnx,59ac18d545c431882809612283f00edfef6d5aa291666fe5cf978a55f99841e9
models/yolov8n/yolov8n.pt,6549796,1779868226364029200,.pt,f59b3d833e2ff32e194b5bb8e08d211dc7c5bdf144b90d2c8412c47ccfc83b36
checkpoints/checkpoints_1bit/qat_1bit_epoch_1.pth,93944501,1777789876463617600,.pth,5c8b4ec1d4d285d38a94c68b791bbd367986e97e3325c8effcd108a9d1d2be32
checkpoints/checkpoints_1bit/qat_1bit_epoch_10.pth,93945147,1777815667236537300,.pth,7e05b82ea060fd77dbfc94f44d73af17d0471dc1f9fd014ab150d9b54d3dfb5f
checkpoints/checkpoints_1bit/qat_1bit_epoch_11.pth,93945147,1777818581442667200,.pth,d095c5f6fc853a019912a858742f58958bd350c38a2c0f904ba23932b2d719e5
checkpoints/checkpoints_1bit/qat_1bit_epoch_12.pth,93945147,1777821487168610100,.pth,90b0157d55fa143c2adbe086be6bccef77d48488c4d3b4caa4b23125abcadd5a
checkpoints/checkpoints_1bit/qat_1bit_epoch_13.pth,93945147,1777824359899413600,.pth,2afb73023f4bf8364bbe37a5cb2b1cd16f6a7286ce764d49cd505be9071f6cb4
checkpoints/checkpoints_1bit/qat_1bit_epoch_14.pth,93945147,1777827231770611200,.pth,83d7adfe3dd454e12c6b0faff317d739b0970eff051d00141c40ef61285386b6
checkpoints/checkpoints_1bit/qat_1bit_epoch_15.pth,93945147,1777830101886724400,.pth,ec46011fd60dfff6808cc536b57502eea8c45414c043d6995adab263e0f6042e
checkpoints/checkpoints_1bit/qat_1bit_epoch_16.pth,93945147,1777832972611680200,.pth,dcac4fcf37ac6933304a5f1026087770d2ec08617b075d81ae0ae7360af136c3
checkpoints/checkpoints_1bit/qat_1bit_epoch_17.pth,93945147,1777835842781419900,.pth,272163853f364cfc5753f4c8f052fbb761dc930fbb326302d4995489a7a86e9c
checkpoints/checkpoints_1bit/qat_1bit_epoch_18.pth,93945147,1777838712505465800,.pth,0cb0c4c33fe1e4dee32f19709b5cea4fe508a41eecd8da0c3856860f2052245c
checkpoints/checkpoints_1bit/qat_1bit_epoch_19.pth,93945147,1777841584280402500,.pth,9299aa421b18496db6c91fd7300970e587f86ac31576e436337d963a2cf18ba4
checkpoints/checkpoints_1bit/qat_1bit_epoch_2.pth,93944501,1777792756147081700,.pth,b369aab8799b32957883aba85d68a052bb31fa9618c0e1400c7b83b1c988a11e
checkpoints/checkpoints_1bit/qat_1bit_epoch_20.pth,93945147,1777844455629402700,.pth,90bf4463cc2915e8c469bc4edb56e61b97baaa3b2104ff739e719e2639f0b76c
checkpoints/checkpoints_1bit/qat_1bit_epoch_21.pth,93945147,1777847330111226200,.pth,68425af197ac8350dfdf6962e19d3ce1f558ef4dfd1015dde0d86b7de1a1f15c
checkpoints/checkpoints_1bit/qat_1bit_epoch_22.pth,93945147,1777850216718600500,.pth,9f7d97f34379881d11720fea9aeb7026e69bc06b255e541c6d99abb19bb17da1
checkpoints/checkpoints_1bit/qat_1bit_epoch_23.pth,93945147,1777853087044253200,.pth,de3e11649306606c3463b87192b1b488848a2b0acb1db3dc52368567b094bbc4
checkpoints/checkpoints_1bit/qat_1bit_epoch_24.pth,93945147,1777855956549410900,.pth,a9f66dd93d3ac8f08c8725033f727c9a7e2d8ee22ca548f77df8c9dd4c6789dc
checkpoints/checkpoints_1bit/qat_1bit_epoch_25.pth,93945147,1777858835927382500,.pth,bb5423f2a81148802ec7a3d4de8e99bbdf545f5a3e9c345c0072f1ffac0b5a50
checkpoints/checkpoints_1bit/qat_1bit_epoch_26.pth,93946875,1777884512837506600,.pth,5f339f91db678377cea8567d93872af848e4c20b81deac2e68456741b0c7a5e9
