epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,9531.15,0.988,0.94394,1.05727,0.71194,0.50029,0.57176,0.39806,0.9092,1.16879,1.1351,0.000870577,0.000870577,0.000870577
84,9643.71,0.98436,0.94332,1.05881,0.71053,0.50042,0.57201,0.39849,0.90954,1.16874,1.13523,0.000789327,0.000789327,0.000789327
85,9759.84,0.98256,0.93428,1.05554,0.71191,0.50049,0.57251,0.39887,0.90999,1.16884,1.1354,0.000712282,0.000712282,0.000712282
86,9876.38,0.97883,0.93328,1.05401,0.71334,0.50062,0.57257,0.39873,0.91038,1.16924,1.1355,0.000639518,0.000639518,0.000639518
87,9991.79,0.97552,0.92526,1.0514,0.71173,0.50202,0.57327,0.39863,0.91055,1.16904,1.13559,0.000571106,0.000571106,0.000571106
88,10106,0.96823,0.92078,1.05119,0.71024,0.5025,0.57328,0.3986,0.91074,1.16931,1.13566,0.000507115,0.000507115,0.000507115
89,10224.9,0.97086,0.91893,1.05273,0.70775,0.50378,0.57367,0.39869,0.91129,1.16946,1.13601,0.000447606,0.000447606,0.000447606
90,10339.1,0.97483,0.91621,1.05142,0.70918,0.50266,0.57315,0.39858,0.91141,1.16989,1.13599,0.00039264,0.00039264,0.00039264
91,10471.9,0.98641,0.89567,1.03102,0.71038,0.49892,0.57283,0.39849,0.91147,1.17026,1.13595,0.00034227,0.00034227,0.00034227
92,10584.7,0.97011,0.86612,1.02282,0.68984,0.51742,0.57295,0.39846,0.91161,1.17058,1.13588,0.000296546,0.000296546,0.000296546
93,10698.9,0.97078,0.857,1.02191,0.69653,0.51444,0.57311,0.39892,0.91204,1.17121,1.13607,0.000255513,0.000255513,0.000255513
94,10810.7,0.96412,0.85381,1.02067,0.69559,0.51414,0.57366,0.39882,0.91225,1.17185,1.13607,0.000219212,0.000219212,0.000219212
95,10921.2,0.96207,0.84968,1.01964,0.69645,0.51038,0.57301,0.39911,0.91279,1.17255,1.13642,0.000187678,0.000187678,0.000187678
96,11032,0.95957,0.84356,1.01548,0.70373,0.50502,0.57353,0.39908,0.91334,1.17298,1.13683,0.000160943,0.000160943,0.000160943
97,11142.6,0.9598,0.84059,1.01796,0.70172,0.5073,0.57419,0.39904,0.91363,1.17351,1.13698,0.000139032,0.000139032,0.000139032
98,11253.4,0.95633,0.83676,1.01487,0.70293,0.50631,0.57267,0.39875,0.91412,1.17453,1.13723,0.000121968,0.000121968,0.000121968
99,11366.6,0.95987,0.83531,1.0194,0.69957,0.50806,0.57315,0.39888,0.91477,1.17526,1.1377,0.000109768,0.000109768,0.000109768
100,11484.2,0.95523,0.83755,1.01555,0.69715,0.51023,0.57259,0.39854,0.91526,1.17631,1.13801,0.000102443,0.000102443,0.000102443
